CHAVE;EMPRESA;ANO;MES;DATA;CLIENTE;DOC;PRODUTO;QTD;PRECO;VALOR;DESC;CAIXA;FORMA;TIPO;VENDEDOR;GRUPO;SUBGRUPO
;T CASA 01 - Matriz;2025;10;03/10/2025;ATRIO HOTEIS S.A.;12831;KIT CAIXA DESCARGA ACOPLADA;3;124,2;372,6;0;;A PRAZO;NFDAV;HC ALLAN;COZINHA/BANHEIROS;KIT CAIXA ACOPLADA
;T CASA 01 - Matriz;2025;9;16/09/2025;VENDA CONSUMIDOR;11211;DUCHA DUO SHOWER ELETRONICA BRANCA 127V;1;372,5;372,5;0;2;CARTÃO;CUPOM MANUAL;HC MARINETE;ELETRICO/ILUMINACAO;DUCHA
;T CASA 01 - Matriz;2025;4;14/04/2025;CONSORCIO BOSQUE 25;9611;LUVA PVC LISA 45CM;6;62;372;0;;A PRAZO;NFDAV;HC CARLOS SILVA;FERRAMENTA/MAQU/EPI;LUVA
;T CASA 01 - Matriz;2025;4;14/04/2025;SOCOCO;9600;TORNEIRA PIA PAREDE CROSS - 303434 1168C;4;92,99;371,96;0;;A PRAZO;NFDAV;HC CARLOS SILVA;COZINHA/BANHEIROS;TORNEIRA
;T CASA 01 - Matriz;2025;6;06/06/2025;LIDER ENGENHARIA;10693;TORNEIRA LAVATORIO BANCADA CLEAN - 30383;4;92,99;371,96;0;;A PRAZO;NFDAV;HC ALLAN;COZINHA/BANHEIROS;TORNEIRA
;T CASA 01 - Matriz;2025;10;24/10/2025;SONHARE CONST E INCO;13295;ADESIVO PVC 850G;4;92,98;371,92;0,52;;A PRAZO;NFDAV;HC ALLAN;QUIMICOS/ADESIVOS;ADESIVO
;T CASA 01 - Matriz;2025;8;21/08/2025;LIDERANCA SERVICOS;11982;PROGRAMADOR HORARIO BWT40 HR 100V/240VCA;1;371,9;371,9;0;;A PRAZO;NFDAV;HC VICENTE;ELETRICO/ILUMINACAO;DISJUNTOR
;T CASA 01 - Matriz;2025;7;08/07/2025;PINHEIRO SERENI INCO;11205;ROLO LA ANTIRESPINGO POLIPOP 9CM;50;7,435;371,75;0,17;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;ROLO
;T CASA 01 - Matriz;2025;8;07/08/2025;VENDA CONSUMIDOR;20429;REFLETOR LED SLIM 100W 3000K BIV;3;123,9;371,7;0;3;CARTÃO;CUPOM MANUAL;HC MILTON;ELETRICO/ILUMINACAO;REFLETOR
;T CASA 01 - Matriz;2025;10;03/10/2025;REICON;12827;THINNER F15 5L;3;123,9;371,7;0;;A PRAZO;NFDAV;HC VICENTE;QUIMICOS/ADESIVOS;THINNER
;T CASA 01 - Matriz;2025;10;25/10/2025;VENDA CONSUMIDOR;12882;REFLETOR LED SLIM 100W 3000K BIV;3;123,9;371,7;0;2;CARTÃO;CUPOM MANUAL;HC RENATO;ELETRICO/ILUMINACAO;REFLETOR
;T CASA 01 - Matriz;2025;6;05/06/2025;COND TORRES TRIVENTO;10661;RENOVE ACETINADO BRANCO GELO;5;74,33;371,65;0;;A PRAZO;NFDAV;HC MARINETE;TINTA/IMPERM/COMPLEM;TINTAS/VERNIZ
;T CASA 01 - Matriz;2025;6;18/06/2025;SOL INFORMATICA;10901;CIMENTADO PISO CINZA CLARO - 3,6L 3212;5;74,3;371,5;0;;A PRAZO;NFDAV;HC RENATO;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;4;15/04/2025;NOVA SOLUCAO;9636;FITA ANTIDERRAPANTE PRETA 50X20M;2;185,7;371,4;0;;A PRAZO;NFDAV;HC ALLAN;FERRAMENTA/MAQU/EPI;FITA ANTIDERRAPANTE
